Date,0,1,2,3,4
2020-05-12,5.0,-4.0,1.0,1.0,-4.0
2020-05-13,-4.0,1.0,1.0,-4.0,-2.0
2020-05-14,1.0,1.0,-4.0,-2.0,1.0
2020-05-15,1.0,-4.0,-2.0,1.0,6.0
2020-05-16,-4.0,-2.0,1.0,6.0,-7.0
2020-05-17,-2.0,1.0,6.0,-7.0,3.0
2020-05-18,1.0,6.0,-7.0,3.0,0.0
2020-05-19,6.0,-7.0,3.0,0.0,-1.0
2020-05-20,-7.0,3.0,0.0,-1.0,-1.0
2020-05-21,3.0,0.0,-1.0,-1.0,2.0
2020-05-22,0.0,-1.0,-1.0,2.0,-3.0
2020-05-23,-1.0,-1.0,2.0,-3.0,3.0
2020-05-24,-1.0,2.0,-3.0,3.0,-3.0
2020-05-25,2.0,-3.0,3.0,-3.0,2.0
2020-05-26,-3.0,3.0,-3.0,2.0,1.0
2020-05-27,3.0,-3.0,2.0,1.0,6.0
2020-05-28,-3.0,2.0,1.0,6.0,2.0
2020-05-29,2.0,1.0,6.0,2.0,0.0
2020-05-30,1.0,6.0,2.0,0.0,-10.0
2020-05-31,6.0,2.0,0.0,-10.0,3.0
2020-06-01,2.0,0.0,-10.0,3.0,-3.0
2020-06-02,0.0,-10.0,3.0,-3.0,0.0
2020-06-03,-10.0,3.0,-3.0,0.0,0.0
2020-06-04,3.0,-3.0,0.0,0.0,16.0
2020-06-05,-3.0,0.0,0.0,16.0,-16.0
2020-06-06,0.0,0.0,16.0,-16.0,1.0
2020-06-07,0.0,16.0,-16.0,1.0,6.0
2020-06-08,16.0,-16.0,1.0,6.0,-1.0
2020-06-09,-16.0,1.0,6.0,-1.0,-5.0
2020-06-10,1.0,6.0,-1.0,-5.0,2.0
2020-06-11,6.0,-1.0,-5.0,2.0,-4.0
2020-06-12,-1.0,-5.0,2.0,-4.0,4.0
2020-06-13,-5.0,2.0,-4.0,4.0,1.0
2020-06-14,2.0,-4.0,4.0,1.0,-4.0
2020-06-15,-4.0,4.0,1.0,-4.0,-1.0
2020-06-16,4.0,1.0,-4.0,-1.0,0.0
2020-06-17,1.0,-4.0,-1.0,0.0,0.0
2020-06-18,-4.0,-1.0,0.0,0.0,6.0
2020-06-19,-1.0,0.0,0.0,6.0,-1.0
2020-06-20,0.0,0.0,6.0,-1.0,-4.0
2020-06-21,0.0,6.0,-1.0,-4.0,0.0
2020-06-22,6.0,-1.0,-4.0,0.0,2.0
2020-06-23,-1.0,-4.0,0.0,2.0,2.0
2020-06-24,-4.0,0.0,2.0,2.0,-3.0
2020-06-25,0.0,2.0,2.0,-3.0,-2.0
2020-06-26,2.0,2.0,-3.0,-2.0,4.0
2020-06-27,2.0,-3.0,-2.0,4.0,-4.0
2020-06-28,-3.0,-2.0,4.0,-4.0,0.0
2020-06-29,-2.0,4.0,-4.0,0.0,7.0
2020-06-30,4.0,-4.0,0.0,7.0,-5.0
2020-07-01,-4.0,0.0,7.0,-5.0,0.0
2020-07-02,0.0,7.0,-5.0,0.0,4.0
2020-07-03,7.0,-5.0,0.0,4.0,-5.0
2020-07-04,-5.0,0.0,4.0,-5.0,4.0
2020-07-05,0.0,4.0,-5.0,4.0,0.0
2020-07-06,4.0,-5.0,4.0,0.0,0.0
2020-07-07,-5.0,4.0,0.0,0.0,-3.0
2020-07-08,4.0,0.0,0.0,-3.0,-2.0
2020-07-09,0.0,0.0,-3.0,-2.0,5.0
2020-07-10,0.0,-3.0,-2.0,5.0,-5.0
2020-07-11,-3.0,-2.0,5.0,-5.0,14.0
2020-07-12,-2.0,5.0,-5.0,14.0,-13.0
2020-07-13,5.0,-5.0,14.0,-13.0,2.0
2020-07-14,-5.0,14.0,-13.0,2.0,4.0
2020-07-15,14.0,-13.0,2.0,4.0,-2.0
2020-07-16,-13.0,2.0,4.0,-2.0,-1.0
2020-07-17,2.0,4.0,-2.0,-1.0,-1.0
2020-07-18,4.0,-2.0,-1.0,-1.0,4.0
2020-07-19,-2.0,-1.0,-1.0,4.0,-3.0
2020-07-20,-1.0,-1.0,4.0,-3.0,-4.0
2020-07-21,-1.0,4.0,-3.0,-4.0,5.0
2020-07-22,4.0,-3.0,-4.0,5.0,1.0
2020-07-23,-3.0,-4.0,5.0,1.0,12.0
2020-07-24,-4.0,5.0,1.0,12.0,-18.0
2020-07-25,5.0,1.0,12.0,-18.0,3.0
2020-07-26,1.0,12.0,-18.0,3.0,6.0
2020-07-27,12.0,-18.0,3.0,6.0,-3.0
